Model,Accuracy,Star_MAE,Close_Accuracy,F1_Score,Training_Time,Inference_Time
text_rf,0.5500,0.8000,0.8000,0.4276,0.306,0.007
text_lr,0.5000,0.7900,0.8400,0.4582,0.043,0.000
text_mlp,0.5300,0.7700,0.8200,0.4640,0.253,0.000
metadata_rf,0.5600,0.8100,0.7800,0.4764,0.134,0.004
metadata_lr,0.5900,0.7900,0.7800,0.4597,0.006,0.000
metadata_gb,0.5200,0.7500,0.8300,0.4514,0.745,0.002
combined_rf,0.5500,0.8100,0.8000,0.4254,0.277,0.005
combined_lr,0.5000,0.7900,0.8400,0.4582,0.036,0.000
combined_mlp,0.5300,0.7400,0.8300,0.4810,0.427,0.000
combined_gb,0.5400,0.8300,0.8000,0.4351,5.632,0.001
combined_svm,0.5700,0.8200,0.7800,0.4139,0.184,0.057
combined_knn,0.5900,0.8000,0.7800,0.4557,0.001,0.044
combined_nb,0.4900,0.8300,0.8300,0.4505,0.003,0.002
combined_dt,0.4800,0.9300,0.7500,0.4239,0.035,0.000
xgboost,0.5400,0.7900,0.8000,0.4340,1.508,0.004
extra_trees,0.5900,0.7500,0.8100,0.4955,0.308,0.006
ada_boost,0.5800,0.8000,0.7900,0.4383,0.503,0.011
voting_ensemble,0.5700,0.7300,0.8300,0.4969,3.008,0.004
late_fusion_voting,0.5700,0.7700,0.8100,0.4758,0.522,0.100
late_fusion_stacking,0.5700,0.8100,0.7900,0.4165,8.917,0.100
attention_fusion,0.5200,0.7900,0.8200,0.4542,0.438,0.100
tensor_fusion,0.5300,0.8500,0.7900,0.4414,0.505,0.100
multiplicative_fusion,0.5000,0.7800,0.8200,0.4460,0.387,0.100
wide_and_deep,0.5400,0.7600,0.8300,0.4718,0.481,0.100
stacking_ensemble,0.5700,0.8100,0.7900,0.4165,10.405,0.005
deep_neural_net,0.4900,0.8700,0.8000,0.3852,0.348,0.001
wide_neural_net,0.5400,0.8300,0.7900,0.4509,1.441,0.001
regularized_neural_net,0.5000,0.9500,0.7600,0.3971,0.140,0.000
